id,Chinese,PinYin,English,Source,LessonName,LessonId,WordType,Category
181,音乐 ,yin1 yue4,music,HSK 1,Week04_Lesson05,20,,
182,书店,shu1 dian4,book shop,HSK 1,Week04_Lesson05,20,,
183,小学,xiao3 xue2,primary school,HSK 1,Week04_Lesson05,20,,
184,商店,shang1 dian4,shop,HSK 1,Week05_Lesson01,21,,
185,买,mai3,to buy,HSK 1,Week05_Lesson01,21,,
186,东西,dong1 xi5,stuff / things,HSK 1,Week05_Lesson01,21,,
187,一些,yi4 xie1,some / several / a few,HSK 1,Week05_Lesson01,21,,
188,水果,shui3 guo3,fruit,HSK 1,Week05_Lesson01,21,,
189,见,jian4,to see / to meet,HSK 1,Week05_Lesson01,21,,
190,苹果,ping2 guo3,apple,HSK 1,Week05_Lesson02,22,,
191,钱,qian2,money,HSK 1,Week05_Lesson02,22,,
192,元/块,yuan2 / kuai4,measure word for money,HSK 1,Week05_Lesson02,22,,
193,先生,xian1 sheng5,Mr. / Sir / Gentleman,HSK 1,Week05_Lesson02,22,,
194,前面,qian2 mian4,front,HSK 1,Week05_Lesson02,22,,
195,那,na4,that,HSK 1,Week05_Lesson02,22,,
196,件,jian4,measure word for clothes,HSK 1,Week05_Lesson02,22,,
197,衣服,yi1 fu5,clothes,HSK 1,Week05_Lesson02,22,,
198,米饭,mi3 fan4,cooked rice,HSK 1,Week05_Lesson02,22,,
199,网上,wang3 shang5,online,HSK 1,Week05_Lesson03,23,,
200,茶,cha2,tea,HSK 1,Week05_Lesson03,23,,
201,杯子,bei1 zi5,cup,HSK 1,Week05_Lesson03,23,,
202,学,xue2,to study / to learn,HSK 1,Week05_Lesson03,23,,
203,菜,cai4,"vegetable, dish",HSK 1,Week05_Lesson03,23,,
204,可以,ke2 yi3,"OK, could, might",HSK 1,Week05_Lesson03,23,,
205,好吧,hao3 ba5,"all right, Okay, OK",HSK 1,Week05_Lesson03,23,,
206,上网,shang4 wang3,to surf online,HSK 1,Week05_Lesson03,23,,
207,喂,wei4,hello,HSK 1,Week05_Lesson04,24,,
208,这几天,zhe4 ji3 tian1,these days,HSK 1,Week05_Lesson04,24,,
209,做饭,zuo4 fan4,to cook,HSK 1,Week05_Lesson04,24,,
210,学会,xue2 hui4,to have learnt,HSK 1,Week05_Lesson04,24,,
211,请,qing3,to invite,HSK 1,Week05_Lesson04,24,,
212,啊,a5,sentence - final interjection,HSK 1,Week05_Lesson04,24,,
213,能,neng2,can / be able to,HSK 1,Week05_Lesson04,24,,
214,住,zhu4,to live,HSK 1,Week05_Lesson04,24,,
215,小姐,xiao3 jie3,Miss,HSK 1,Week05_Lesson05,25,,
216,喝,he1,to drink,HSK 1,Week05_Lesson05,25,,
217,要,yao4,to want / to need,HSK 1,Week05_Lesson05,25,,
218,杯,bei1,measure word for cups,HSK 1,Week05_Lesson05,25,,
219,里面,li3 mian4,inside,HSK 1,Week05_Lesson05,25,,
220,水,shui3,water,HSK 1,Week05_Lesson05,25,,
221,好喝,hao3 he1,taste good for drink,HSK 1,Week05_Lesson05,25,,
222,每天,mei3 tian1,everyday,HSK 1,Week05_Lesson05,25,,
223,出租车,chu1 zu1 che1,taxi,HSK 1,Week06_Lesson01,26,,
224,和… 一起,he2 … yi4 qi3,together with ,HSK 1,Week06_Lesson01,26,,
225,回来,hui2 lai4,come back ,HSK 1,Week06_Lesson01,26,,
226,后天,hou4 tian1,the day after tomorrow,HSK 1,Week06_Lesson01,26,,
227,男朋友,nan2 peng2 you5,boyfriend,HSK 1,Week06_Lesson01,26,,
228,开车,kai1 che1,to drive,HSK 1,Week06_Lesson02,27,,
229,分钟,fen1 zhong1,minute,HSK 1,Week06_Lesson02,27,,
230,听见,ting1 jian4,to hear,HSK 1,Week06_Lesson02,27,,
231,回家 ,hui2 jia1,to go back home,HSK 1,Week06_Lesson02,27,,
232,打车,da3 che1,to take a taxi,HSK 1,Week06_Lesson02,27,,
233,回去,hui2 qu4,to go back / return,HSK 1,Week06_Lesson02,27,,
234,走路,zou3 lu4,to walk,HSK 1,Week06_Lesson02,27,,
235,这儿,zher4,here,HSK 1,Week06_Lesson03,28,,
236,飞机,fei1 ji1,air plane,HSK 1,Week06_Lesson03,28,,
237,很少,hen3 shao3,"very few, little",HSK 1,Week06_Lesson03,28,,
238,烤鸭,kao3 ya1,roast duck,HSK 1,Week06_Lesson03,28,,
239,没,mei2,no / not / never,HSK 1,Week06_Lesson03,28,,
240,饭店,fan4 dian4,restaurant,HSK 1,Week06_Lesson03,28,,
241,桌子,zhuo1 zi5,"table, desk",HSK 1,Week06_Lesson04,29,,
242,椅子,yi3 zi5,chair,HSK 1,Week06_Lesson04,29,,
243,书包,shu1 bao1,schoolbag,HSK 1,Week06_Lesson04,29,,
244,上面,shang4 mian4,above / over / on top of,HSK 1,Week06_Lesson04,29,,
245,下面,xia4 mian4,below / following / underneath,HSK 1,Week06_Lesson04,29,,
246,后面,hou4 mian4,behind / latter / at the back,HSK 1,Week06_Lesson04,29,,
247,八达岭,Ba1 da2 ling3,part of Chinese Great Wall,HSK 1,Week06_Lesson05,30,,
248,美,mei3,beautiful,HSK 1,Week06_Lesson05,30,,
249,长城,chang2 cheng2,the Great Wall ,HSK 1,Week06_Lesson05,30,,
250,西北,xi bei3,northwest,HSK 1,Week06_Lesson05,30,,
251,几个,ji3 ge4,several / how many,HSK 1,Week06_Lesson05,30,,
252,学车,xue2 che1,to learn to drive,HSK 1,Week06_Lesson05,30,,
253,坐车,zuo4 che1,to take a car,HSK 1,Week06_Lesson05,30,,
254,您,nin2,you (polite),HSK 2,Week01_Lesson01,31,pronoun,
255,姓,xing4,surname,HSK 2,Week01_Lesson01,31,noun,
256,丈夫,zhang4 fu5,husband,HSK 2,Week01_Lesson01,31,noun,
257,妻子,qi1 zi5,wife,HSK 2,Week01_Lesson01,31,noun,
258,孩子,hai2 zi5,child,HSK 2,Week01_Lesson01,31,noun,
259,忙,mang2,busy,HSK 2,Week01_Lesson02,32,adjective,
260,每,mei3,every / each,HSK 2,Week01_Lesson02,32,pronoun,
261,过,guo5,part. to indicate something in past,HSK 2,Week01_Lesson02,32,particle,
262,真,zhen1,really,HSK 2,Week01_Lesson02,32,adverb,
263,早上,zao3 shang5,morning,HSK 2,Week01_Lesson02,32,noun,
264,起床,qi3 chuang2,to get up,HSK 2,Week01_Lesson02,32,verb,
265,早饭,zao3 fan4,breakfast,HSK 2,Week01_Lesson02,32,noun,
266,到,dao4,to arrive,HSK 2,Week01_Lesson02,32,verb,
267,课,ke4,lesson / class,HSK 2,Week01_Lesson02,32,noun,
268,累,lei4,tired,HSK 2,Week01_Lesson02,32,adjective,
269,上班,shang4 ban1,to go to work,HSK 2,Week01_Lesson03,33,verb,
270,公共汽车,gong1 gong4 qi4 che1,bus,HSK 2,Week01_Lesson03,33,noun,
271,走,zou3,to walk,HSK 2,Week01_Lesson03,33,verb,
272,着,zhe5,part. to express the way of doing smt,HSK 2,Week01_Lesson03,33,particle,
273,公司,gong1 si1,company,HSK 2,Week01_Lesson03,33,noun,
274,旁边,pang2 bian1,nearby,HSK 2,Week01_Lesson03,33,adjective,
275,就,jiu4,emphasize the time is short / early,HSK 2,Week01_Lesson03,33,adverb,
276,下班,xia4 ban1,to leave work,HSK 2,Week01_Lesson03,33,verb,
277,晚上,wan3 shang5,evening,HSK 2,Week01_Lesson03,33,noun,
278,晚,wan3,late,HSK 2,Week01_Lesson03,33,adjective,
279,回家,hui2 jia1,to go home / to get home,HSK 2,Week01_Lesson03,33,verb,
280,运动,yun4 dong4,"sports, to exercise",HSK 2,Week01_Lesson04,34,v/n,
281,游泳,you2 yong3,to swim,HSK 2,Week01_Lesson04,34,verb,
282,打篮球,da3 lan2 qiu2,to play basketball,HSK 2,Week01_Lesson04,34,verb,
283,踢足球,ti1 zu2 qiu2,to play soccer,HSK 2,Week01_Lesson04,34,verb,
284,跑步,pao3 bu4,to run,HSK 2,Week01_Lesson04,34,verb,
285,次,ci4,measure word for frequency,HSK 2,Week01_Lesson04,34,mw,
286,小时,xiao3 shi2,hour,HSK 2,Week01_Lesson04,34,noun,
287,星期日,xing1 qi1 ri4,Sunday,HSK 2,Week02_Lesson01,35,noun,
288,一起,yi4 qi3,together,HSK 2,Week02_Lesson01,35,adverb,
289,我可以...吗？,ke3 yi3,May I …?,HSK 2,Week02_Lesson01,35,auxiliary,
290,晴,qing2,sunny,HSK 2,Week02_Lesson01,35,adjective,
291,阴,yin1,cloudy,HSK 2,Week02_Lesson01,35,adjective,
292,可能,ke3 neng2,probably,HSK 2,Week02_Lesson01,35,auxiliary,
293,雪,xue3,snow,HSK 2,Week02_Lesson01,35,noun,
294,下雪,xia4 xue3,to snow,HSK 2,Week02_Lesson01,35,verb,
295,唱歌,chang4 ge1,to sing,HSK 2,Week02_Lesson02,36,verb,
296,再,zai4,again / once more,HSK 2,Week02_Lesson02,36,adverb,
297,报纸,bao4 zhi3,newspaper,HSK 2,Week02_Lesson02,36,noun,
298,车站,che1 zhan4,station / stop,HSK 2,Week02_Lesson02,36,noun,
299,周末,zhou1 mo4,weekend,HSK 2,Week02_Lesson02,36,noun,
300,咖啡,ka1 fei1,coffee,HSK 2,Week02_Lesson02,36,noun,
301,两,liang3,two,HSK 2,Week02_Lesson02,36,number,
302,饭馆儿,fan4 guanr3,restaurant,HSK 2,Week02_Lesson03,37,noun,
303,已经,yi3 jing1,already,HSK 2,Week02_Lesson03,37,adverb,
304,面条儿,mian4 tiaor2,noodle,HSK 2,Week02_Lesson03,37,noun,
305,鸡蛋,ji1 dan4,egg,HSK 2,Week02_Lesson03,37,noun,
306,饺子,jiao3 zi5,dumpling,HSK 2,Week02_Lesson03,37,noun,
307,服务员,fu2 wu4 yuan2,waiter / waitress,HSK 2,Week02_Lesson03,37,noun,
308,问,wen4,to ask,HSK 2,Week02_Lesson04,38,verb,
309,百,bai3,hundred,HSK 2,Week02_Lesson04,38,number,
310,千,qian1,thousand,HSK 2,Week02_Lesson04,38,number,
311,贵,gui4,expensive,HSK 2,Week02_Lesson04,38,adjective,
312,卖,mai4,to sell,HSK 2,Week02_Lesson04,38,verb,
313,西瓜,xi1 gua1,watermelon,HSK 2,Week02_Lesson04,38,noun,
314,便宜,pian2 yi5,cheap,HSK 2,Week02_Lesson04,38,adjective,
315,考试,kao3 shi4,exam / to examine,HSK 2,Week03_Lesson01,39,v/n,
316,准备,zhun3 bei4,to prepare,HSK 2,Week03_Lesson01,39,verb,
317,还,hai2,still / yet,HSK 2,Week03_Lesson01,39,adverb,
318,懂,dong3,to understand,HSK 2,Week03_Lesson01,39,verb,
319,问题,wen4 ti2,question / problem,HSK 2,Week03_Lesson01,39,noun,
320,第一,di4 yi1,number one / first,HSK 2,Week03_Lesson01,39,number,
321,告诉,gao4 su5,to tell,HSK 2,Week03_Lesson01,39,verb,
322,大家,da4 jia1,everyone / all,HSK 2,Week03_Lesson01,39,pronoun,
323,时间,shi2 jian1,time,HSK 2,Week03_Lesson02,40,noun,
324,事情,shi4 qing5,matter / thing / affair,HSK 2,Week03_Lesson02,40,noun,
325,一下,yi2 xia4,"after verb, indicating short time",HSK 2,Week03_Lesson02,40,particle,
326,帮 / 帮助,bang1 / bang1 zhu4,to help / to help out,HSK 2,Week03_Lesson02,40,verb,
327,笑,xiao4,to laugh / to smile,HSK 2,Week03_Lesson02,40,verb,
328,门,men2,door,HSK 2,Week03_Lesson02,40,noun,
329,房间,fang2 jian1,room,HSK 2,Week03_Lesson02,40,noun,
330,零,ling2,zero,HSK 2,Week03_Lesson02,40,number,
331,离,li2,to be away from,HSK 2,Week03_Lesson03,41,verb,
332,远,yuan3,far,HSK 2,Week03_Lesson03,41,adjective,
333,近,jin4,close,HSK 2,Week03_Lesson03,41,adjective,
334,火车站,huo3 che1 zhan4,train station,HSK 2,Week03_Lesson03,41,noun,
335,往,wang3,to / towards,HSK 2,Week03_Lesson03,41,preposition,
336,高,gao1,tall,HSK 2,Week03_Lesson03,41,adjective,
337,宾馆,bin1 guan3,hotel,HSK 2,Week03_Lesson03,41,noun,
338,右边,you4 bian5,right hand side (direction),HSK 2,Week03_Lesson03,41,noun,
339,路,lu4,road,HSK 2,Week03_Lesson03,41,noun,
340,左边,zuo3 bian5,left hand side (direction),HSK 2,Week03_Lesson03,41,noun,
341,觉得,jue2 de5,to think / to feel,HSK 2,Week03_Lesson04,42,verb,
342,牛奶,niu2 nai3,milk,HSK 2,Week03_Lesson04,42,noun,
343,说话,shuo1 hua4,to talk / to speak,HSK 2,Week03_Lesson04,42,verb,
344,休息,xiu1 xi5,to rest,HSK 2,Week03_Lesson04,42,verb,
345,病人,bing4 ren2,patient (noun),HSK 2,Week03_Lesson04,42,noun,
346,希望,xi1 wang4,to hope / to wish,HSK 2,Week03_Lesson04,42,verb,
347,眼睛,yan3 jing1,eye,HSK 2,Week04_Lesson01,43,noun,
348,红,hong2,red,HSK 2,Week04_Lesson01,43,adjective,
349,别,bie2,don’t,HSK 2,Week04_Lesson01,43,adverb,
350,出去,chu1 qu5,to go out,HSK 2,Week04_Lesson01,43,verb,
351,正在,zheng4 zai4,in the process of / someone doing smth,HSK 2,Week04_Lesson01,43,adverb,
352,作业,zuo4 ye4,homework,HSK 2,Week04_Lesson01,43,noun,
353,完,wan2,to finish,HSK 2,Week04_Lesson01,43,verb,
354,穿,chuan1,to wear / to put on,HSK 2,Week04_Lesson01,43,verb,
355,女,nv3,female,HSK 2,Week04_Lesson02,44,adjective,
356,男,nan2,male,HSK 2,Week04_Lesson02,44,adjective,
357,找,zhao3,to look for,HSK 2,Week04_Lesson02,44,verb,
358,那儿,nar4,over there,HSK 2,Week04_Lesson02,44,adverb,
359,铅笔,qian1 bi3,pencil,HSK 2,Week04_Lesson02,44,noun,
360,知道,zhi1 dao4,to know,HSK 2,Week04_Lesson02,44,verb,
361,跳舞,tiao4 wu3,to dance,HSK 2,Week04_Lesson02,44,verb,
362,教,jiao1,to teach,HSK 2,Week04_Lesson02,44,verb,
363,开始,kai1 shi3,to start,HSK 2,Week04_Lesson02,44,verb,
364,教室,jiao4 shi4,classroom,HSK 2,Week04_Lesson03,45,verb,
365,题,ti2,question / exercise,HSK 2,Week04_Lesson03,45,noun,
366,A 比 B,bi3,A is (adj) than B,HSK 2,Week04_Lesson03,45,preposition,
367,等,deng3,to wait,HSK 2,Week04_Lesson03,45,verb,
